id_magasin,date,chiffre_affaires,region_ville
1,2020-12-01,17498.18,Libreville
1,2021-12-01,15849.54,Libreville
1,2022-12-01,18835.44,Libreville
1,2023-12-01,18077.4,Libreville
2,2020-12-01,12617.48,Libreville
2,2021-12-01,13647.43,Libreville
2,2022-12-01,15278.3,Libreville
2,2023-12-01,15254.77,Libreville
3,2020-12-01,14164.47,Libreville
3,2021-12-01,17244.96,Libreville
3,2022-12-01,15628.08,Libreville
3,2023-12-01,18888.03,Libreville
4,2020-12-01,9969.96,Libreville
4,2021-12-01,10707.97,Libreville
4,2022-12-01,11619.18,Libreville
4,2023-12-01,10948.45,Libreville
5,2020-12-01,12461.25,Libreville
5,2021-12-01,13705.16,Libreville
5,2022-12-01,13638.08,Libreville
5,2023-12-01,13155.84,Libreville
